Id,quality
2056,6
2057,6
2058,5
2059,6
2060,5
2061,5
2062,6
2063,6
2064,6
2065,6
2066,6
2067,6
2068,6
2069,6
2070,6
2071,5
2072,7
2073,5
2074,5
2075,7
2076,8
2077,6
2078,5
2079,7
2080,5
2081,5
2082,6
2083,6
2084,7
2085,5
2086,5
2087,6
2088,5
2089,5
2090,6
2091,7
2092,8
2093,6
2094,6
2095,4
2096,5
2097,6
2098,5
2099,7
2100,7
2101,6
2102,5
2103,5
2104,6
2105,6
2106,6
2107,6
2108,7
2109,7
2110,5
2111,6
2112,7
2113,5
2114,7
2115,6
2116,8
2117,5
2118,5
2119,7
2120,8
2121,6
2122,7
2123,6
2124,6
2125,6
2126,7
2127,5
2128,6
2129,5
2130,6
2131,6
2132,6
2133,5
2134,5
2135,5
2136,5
2137,5
2138,7
2139,4
2140,6
2141,7
2142,5
2143,6
2144,6
2145,6
2146,6
2147,5
2148,6
2149,5
2150,5
2151,6
2152,6
2153,7
2154,6
2155,6
2156,6
2157,7
2158,5
2159,7
2160,6
2161,5
2162,6
2163,7
2164,6
2165,7
2166,6
2167,5
2168,7
2169,5
2170,6
2171,5
2172,6
2173,6
2174,8
2175,5
2176,6
2177,6
2178,5
2179,7
2180,6
2181,4
2182,6
2183,7
2184,5
2185,7
2186,5
2187,6
2188,5
2189,6
2190,7
2191,7
2192,6
2193,7
2194,5
2195,6
2196,5
2197,6
2198,5
2199,6
2200,5
2201,7
2202,7
2203,6
2204,5
2205,3
2206,5
2207,6
2208,5
2209,6
2210,6
2211,7
2212,5
2213,6
2214,7
2215,7
2216,5
2217,6
2218,6
2219,6
2220,7
2221,5
2222,5
2223,6
2224,5
2225,7
2226,6
2227,5
2228,7
2229,7
2230,5
2231,5
2232,7
2233,5
2234,7
2235,7
2236,6
2237,7
2238,5
2239,5
2240,5
2241,7
2242,5
2243,7
2244,6
2245,6
2246,5
2247,6
2248,7
2249,7
2250,5
2251,6
2252,5
2253,6
2254,6
2255,6
2256,5
2257,6
2258,6
2259,6
2260,5
2261,5
2262,7
2263,6
2264,5
2265,6
2266,5
2267,7
2268,4
2269,6
2270,6
2271,6
2272,5
2273,7
2274,5
2275,5
2276,6
2277,5
2278,7
2279,6
2280,5
2281,6
2282,7
2283,5
2284,6
2285,5
2286,5
2287,6
2288,4
2289,7
2290,6
2291,5
2292,6
2293,5
2294,6
2295,6
2296,6
2297,6
2298,5
2299,6
2300,6
2301,5
2302,5
2303,5
2304,6
2305,7
2306,5
2307,5
2308,5
2309,5
2310,5
2311,6
2312,7
2313,5
2314,6
2315,7
2316,6
2317,7
2318,6
2319,6
2320,5
2321,6
2322,6
2323,7
2324,6
2325,4
2326,5
2327,6
2328,5
2329,5
2330,6
2331,7
2332,5
2333,6
2334,6
2335,7
2336,5
2337,7
2338,6
2339,5
2340,5
2341,5
2342,5
2343,5
2344,6
2345,6
2346,7
2347,6
2348,5
2349,6
2350,6
2351,5
2352,6
2353,7
2354,6
2355,6
2356,6
2357,7
2358,6
2359,7
2360,6
2361,4
2362,6
2363,5
2364,7
2365,6
2366,6
2367,6
2368,8
2369,6
2370,5
2371,7
2372,6
2373,6
2374,6
2375,5
2376,6
2377,6
2378,6
2379,5
2380,5
2381,5
2382,7
2383,7
2384,7
2385,6
2386,7
2387,7
2388,5
2389,6
2390,5
2391,7
2392,7
2393,6
2394,7
2395,6
2396,7
2397,6
2398,5
2399,7
2400,6
2401,5
2402,6
2403,5
2404,7
2405,5
2406,7
2407,5
2408,7
2409,6
2410,7
2411,6
2412,6
2413,7
2414,7
2415,8
2416,6
2417,6
2418,6
2419,6
2420,7
2421,6
2422,5
2423,5
2424,5
2425,5
2426,7
2427,5
2428,6
2429,6
2430,5
2431,6
2432,6
2433,6
2434,6
2435,5
2436,6
2437,5
2438,6
2439,7
2440,6
2441,8
2442,6
2443,5
2444,6
2445,5
2446,6
2447,6
2448,5
2449,3
2450,5
